Time Stamp,pos X,pos Y,speed X,speed Y
146,721.858624841578,453.87158406162933,-5,5
147,716.858624841578,458.87158406162933,-5,5
148,711.858624841578,463.87158406162933,-5,5
149,706.858624841578,468.87158406162933,-5,5
150,701.858624841578,473.87158406162933,-5,5
151,696.858624841578,478.87158406162933,-5,5
152,691.858624841578,483.87158406162933,-5,5
153,686.858624841578,488.87158406162933,-5,5
154,681.858624841578,493.87158406162933,-5,5
155,676.858624841578,498.87158406162933,-5,5
156,671.858624841578,503.87158406162933,-5,5
157,666.858624841578,508.87158406162933,-5,5
158,661.858624841578,513.8715840616294,-5,5
159,656.858624841578,518.8715840616294,-5,5
160,651.858624841578,523.8715840616294,-5,5
161,646.858624841578,528.8715840616294,-5,5
162,641.858624841578,533.8715840616294,-5,5
163,636.858624841578,538.8715840616294,-5,5
164,631.858624841578,543.8715840616294,-5,5
165,626.858624841578,548.8715840616294,-5,5
166,621.858624841578,553.8715840616294,-5,5
167,616.858624841578,558.8715840616294,-5,5
168,611.858624841578,563.8715840616294,-5,5
169,606.858624841578,568.8715840616294,-5,5
170,601.858624841578,573.8715840616294,-5,5
171,596.858624841578,578.8715840616294,-5,5
172,591.858624841578,583.8715840616294,-5,5
173,586.858624841578,588.8715840616294,-5,5
174,581.858624841578,593.8715840616294,-5,5
175,576.858624841578,598.8715840616294,-5,5
176,571.858624841578,603.8715840616294,-5,5
177,566.858624841578,608.8715840616294,-5,5
178,561.858624841578,613.8715840616294,-5,5
179,556.858624841578,618.8715840616294,-5,5
180,551.858624841578,623.8715840616294,-5,5
181,546.858624841578,628.8715840616294,-5,5
182,541.858624841578,633.8715840616294,-5,5
183,536.858624841578,638.8715840616294,-5,5
184,531.858624841578,643.8715840616294,-5,5
185,526.858624841578,648.8715840616294,-5,5
186,521.858624841578,653.8715840616294,-5,5
187,516.858624841578,658.8715840616294,-5,5
188,511.85862484157803,663.7910711796837,-5,4.919487118054295
189,506.85862484157803,668.4214850233985,-5,4.63041384371475
190,501.85862484157803,672.5330178168343,-5,4.11153279343585
191,496.85862484157803,675.8981015203916,-5,3.365083703557248
192,491.85862484157803,678.3214009285947,-5,2.4232994082030364
193,486.85862484157803,679.6602834284768,-5,1.338882499882102
194,481.85862484157803,679.8257376705006,-5,0.16545424202387893
195,476.85862484157803,678.7666481510882,-5,-1.0590895194124246
196,471.85862484157803,676.4462246777501,-5,-2.320423473338097
197,466.85862484157803,672.8195185357575,-5,-3.6267061419925883
198,461.85862484157803,667.8195185357575,-5,-5
199,456.85862484157803,662.8195185357575,-5,-5
200,451.85862484157803,657.8195185357575,-5,-5
201,446.85862484157803,652.8195185357575,-5,-5
202,441.85862484157803,647.8195185357575,-5,-5
203,436.85862484157803,642.8195185357575,-5,-5
204,431.85862484157803,637.8195185357575,-5,-5
205,426.85862484157803,632.8195185357575,-5,-5
206,421.85862484157803,627.8195185357575,-5,-5
207,416.85862484157803,622.8195185357575,-5,-5
208,411.85862484157803,617.8195185357575,-5,-5
209,406.8825412760847,612.8195185357575,-4.97608356549336,-5
210,401.98614572414647,607.8195185357575,-4.896395551938215,-5
211,397.2138609984596,602.8195185357575,-4.772284725686843,-5
212,392.602496122886,597.8195185357575,-4.611364875573602,-5
213,388.1839489461609,592.8195185357575,-4.418547176725098,-5
214,383.99027648183267,587.8195185357575,-4.193672464328267,-5
215,380.0547425562329,582.8195185357575,-3.9355339255997794,-5
216,376.4139473654645,577.8195185357575,-3.640795190768401,-5
217,373.1085888495181,572.8195185357575,-3.3053585159463514,-5
218,370.1841644230074,567.8195185357575,-2.924424426510731,-5
219,367.69179565819337,562.8195185357575,-2.4923687648140453,-5
220,365.6891880583913,557.8195185357575,-2.0026075998020674,-5
221,364.24174037299935,552.8195185357575,-1.4474476853919505,-5
222,363.42383839370075,547.8195185357575,-0.8179019792986044,-5
223,363.32043687309374,542.8195185357575,-0.10340152060701302,-5
224,364.0292025827364,537.8195185357575,0.7087657096426456,-5
225,365.66382036967406,532.8195185357575,1.6346177869376541,-5
226,368.35948452019306,527.8195185357575,2.6956641505189967,-5
227,372.28099338987727,522.8195185357575,3.921508869684222,-5
228,377.28099338987727,517.8195185357575,5,-5
229,382.28099338987727,512.8195185357575,5,-5
230,387.28099338987727,507.81951853575754,5,-5
